Age,Gender,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Interest_Rate,Debt_To_Income_Ratio,Education_Level,Marital_Status,Previous_Loans,Default,Loan_To_Income_Ratio,Monthly_Payment,Payment_To_Income_Ratio,Credit_Score_Group,Income_Group,Term_Category,Gender_Encoded,Employment_Status_Encoded,Education_Level_Encoded,Marital_Status_Encoded,Credit_Score_Group_Encoded,Income_Group_Encoded,Term_Category_Encoded
42,Male,589000.0,675,244000.0,24,Employed,8.75,5.4,High School,Single,2,1,0.4142614601018676,11119.110042427099,0.2265353489119273,Medium,Very_Low,Medium,1,0,1,2,2,4,1
61,Male,693000.0,538,648000.0,36,Employed,12.86,13.8,Bachelor,Married,3,1,0.935064935064935,21790.010121911448,0.3773161925872112,Very_Low,Low,Medium,1,0,0,1,4,1,1
51,Female,985000.0,712,1254000.0,36,Employed,7.64,10.5,PhD,Married,3,1,1.2730964467005077,39087.877274826824,0.4761974896425603,Medium,High,Medium,0,0,3,1,2,0,1
47,Male,644000.0,754,493000.0,24,Employed,6.38,7.4,Master,Married,1,0,0.765527950310559,21934.573215371616,0.40871875556593074,High,Very_Low,Medium,1,0,2,1,0,4,1
35,Female,1202000.0,670,2246000.0,48,Employed,8.9,17.1,Master,Divorced,1,0,1.8685524126455906,55785.21829080604,0.5569239762809255,Low,Very_High,Long,0,0,2,0,1,3,0
35,Male,813000.0,672,806000.0,12,Employed,8.84,10.2,Master,Married,1,0,0.991389913899139,70426.10179441425,1.0394996574821291,Medium,Medium,Short,1,0,2,1,2,2,2
30,Female,837000.0,561,681000.0,24,Employed,12.17,11.3,Bachelor,Married,0,0,0.8136200716845878,32111.12511177142,0.4603745535737838,Very_Low,Medium,Medium,0,0,0,1,4,2,1
56,Female,828000.0,611,370000.0,24,Employed,10.67,5.9,Master,Married,3,1,0.4468599033816425,17188.267144901136,0.24910532094059618,Very_Low,Medium,Medium,0,0,2,1,4,2,1
47,Male,1102000.0,593,907000.0,36,Employed,11.21,9.7,Master,Married,0,1,0.823049001814882,29784.297294552056,0.32432991609312584,Very_Low,High,Medium,1,0,2,1,4,0,1
50,Male,1115000.0,687,839000.0,36,Employed,8.39,6.8,High School,Married,1,0,0.7524663677130045,26442.420474805673,0.2845821037647247,Medium,High,Medium,1,0,1,1,2,0,1
27,Male,897000.0,698,788000.0,36,Employed,8.06,8.0,PhD,Single,1,0,0.8784838350055741,24714.872993108987,0.33063375241617377,Medium,Medium,Medium,1,0,3,2,2,2,1
63,Female,1077000.0,820,626000.0,24,Employed,4.4,4.0,Bachelor,Single,1,0,0.5812441968430826,27295.589774879376,0.3041291339819429,Very_High,High,Medium,0,0,0,2,3,0,1
54,Male,837000.0,551,517000.0,48,Employed,12.47,9.4,High School,Married,1,0,0.6176821983273596,13734.203976572737,0.19690615020175967,Very_Low,Medium,Long,1,0,1,1,4,2,0
37,Female,992000.0,715,494000.0,12,Employed,7.55,5.0,Master,Married,1,0,0.49798387096774194,42869.568356402255,0.5185834881822853,Medium,High,Short,0,0,2,1,2,0,2
36,Male,755000.0,697,238000.0,24,Employed,8.09,3.6,Master,Married,0,0,0.3152317880794702,10773.867291994318,0.1712402748396448,Medium,Low,Medium,1,0,2,1,2,1,1
36,Male,834000.0,695,926000.0,12,Employed,8.15,10.8,Bachelor,Married,0,0,1.1103117505995204,80615.52213823634,1.1599355703343357,Medium,Medium,Short,1,0,0,1,2,2,2
40,Male,781000.0,789,327000.0,12,Employed,5.33,2.9,High School,Married,3,1,0.4186939820742638,28043.122107204526,0.4308802372425791,Very_High,Low,Short,1,0,1,1,3,1,2
45,Male,758000.0,612,499000.0,36,Employed,10.64,7.5,Bachelor,Married,0,0,0.658311345646438,16251.68032241247,0.2572825380856856,Very_Low,Low,Medium,1,0,0,1,4,1,1
43,Male,708000.0,522,463000.0,24,Employed,13.34,10.2,Bachelor,Married,2,0,0.653954802259887,22085.877576024846,0.37433690806821773,Very_Low,Low,Medium,1,0,0,1,4,1,1
39,Female,974000.0,732,809000.0,24,Employed,7.04,6.8,PhD,Single,1,0,0.8305954825462012,36235.688398475024,0.44643558601817274,High,High,Medium,0,0,3,2,0,0,1
48,Female,1332000.0,653,772000.0,48,Employed,9.41,6.9,Master,Married,3,0,0.5795795795795796,19361.89880745577,0.17443152078788982,Low,Very_High,Long,0,0,2,1,1,3,0
35,Male,1228000.0,486,744000.0,24,Employed,14.42,9.8,Master,Married,1,0,0.6058631921824105,35869.382398018824,0.3505151374399234,Very_Low,Very_High,Medium,1,0,2,1,4,3,1
39,Female,609000.0,627,484000.0,48,Employed,10.19,12.6,High School,Married,2,0,0.7947454844006568,12319.70077395261,0.24275272460990366,Low,Very_Low,Long,0,0,1,1,1,4,0
41,Female,1301000.0,644,1197000.0,36,Self-employed,10.68,10.5,Bachelor,Married,1,1,0.9200614911606456,39007.099718782345,0.3597887752693221,Low,Very_High,Medium,0,1,0,1,1,3,1
44,Female,783000.0,719,1309000.0,36,Employed,7.43,14.4,Bachelor,Single,2,0,1.6717752234993615,40675.969913087356,0.6233865120779671,High,Low,Medium,0,0,0,2,0,1,1
53,Male,1059000.0,600,729000.0,36,Employed,11.0,8.6,Bachelor,Single,2,0,0.6883852691218131,23866.524778294264,0.27044220711948175,Very_Low,High,Medium,1,0,0,2,4,0,1
