Age,Gender,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Interest_Rate,Debt_To_Income_Ratio,Education_Level,Marital_Status,Previous_Loans,Default
42,Male,589000.0,675,244000.0,24,Employed,8.75,5.4,High School,Single,2,1
61,Male,693000.0,538,648000.0,36,Employed,12.86,13.8,Bachelor,Married,3,1
51,Female,985000.0,712,1254000.0,36,Employed,7.64,10.5,PhD,Married,3,1
47,Male,644000.0,754,493000.0,24,Employed,6.38,7.4,Master,Married,1,0
35,Female,1202000.0,670,2246000.0,48,Employed,8.9,17.1,Master,Divorced,1,0
35,Male,813000.0,672,806000.0,12,Employed,8.84,10.2,Master,Married,1,0
30,Female,837000.0,561,681000.0,24,Employed,12.17,11.3,Bachelor,Married,0,0
56,Female,828000.0,611,370000.0,24,Employed,10.67,5.9,Master,Married,3,1
47,Male,1102000.0,593,907000.0,36,Employed,11.21,9.7,Master,Married,0,1
50,Male,1115000.0,687,839000.0,36,Employed,8.39,6.8,High School,Married,1,0
27,Male,897000.0,698,788000.0,36,Employed,8.06,8.0,PhD,Single,1,0
63,Female,1077000.0,820,626000.0,24,Employed,4.4,4.0,Bachelor,Single,1,0
54,Male,837000.0,551,517000.0,48,Employed,12.47,9.4,High School,Married,1,0
37,Female,992000.0,715,494000.0,12,Employed,7.55,5.0,Master,Married,1,0
36,Male,755000.0,697,238000.0,24,Employed,8.09,3.6,Master,Married,0,0
36,Male,834000.0,695,926000.0,12,Employed,8.15,10.8,Bachelor,Married,0,0
40,Male,781000.0,789,327000.0,12,Employed,5.33,2.9,High School,Married,3,1
45,Male,758000.0,612,499000.0,36,Employed,10.64,7.5,Bachelor,Married,0,0
43,Male,708000.0,522,463000.0,24,Employed,13.34,10.2,Bachelor,Married,2,0
39,Female,974000.0,732,809000.0,24,Employed,7.04,6.8,PhD,Single,1,0
48,Female,1332000.0,653,772000.0,48,Employed,9.41,6.9,Master,Married,3,0
35,Male,1228000.0,486,744000.0,24,Employed,14.42,9.8,Master,Married,1,0
39,Female,609000.0,627,484000.0,48,Employed,10.19,12.6,High School,Married,2,0
41,Female,1301000.0,644,1197000.0,36,Self-employed,10.68,10.5,Bachelor,Married,1,1
44,Female,783000.0,719,1309000.0,36,Employed,7.43,14.4,Bachelor,Single,2,0
53,Male,1059000.0,600,729000.0,36,Employed,11.0,8.6,Bachelor,Single,2,0
37,Male,654000.0,670,450000.0,36,Self-employed,9.9,10.5,High School,Married,3,0
45,Male,897000.0,687,419000.0,24,Employed,8.39,5.1,Bachelor,Married,2,0
47,Female,951000.0,681,788000.0,60,Employed,8.57,9.0,Bachelor,Single,2,0
30,Male,553000.0,833,596000.0,36,Employed,4.01,5.6,Bachelor,Single,1,0
47,Male,1044000.0,527,542000.0,48,Self-employed,14.19,8.3,High School,Single,3,0
36,Male,1313000.0,821,1319000.0,48,Employed,4.37,5.3,Bachelor,Married,3,0
31,Male,776000.0,710,476000.0,12,Employed,7.7,7.6,Master,Married,2,0
61,Female,1395000.0,765,1413000.0,24,Employed,6.05,6.4,Bachelor,Married,5,0
63,Male,869000.0,675,904000.0,24,Employed,8.75,10.3,Master,Divorced,2,1
